"titles","abstracts"
"A data linkage study of the effects of the Great Recession and austerity on antidepressant prescription usage.","The study sample comprised 112 251 adults aged 16-60 years, drawn from the Scottish Longitudinal Study, a 5.3% representative sample of Scottish population followed across censuses. Outcomes were individual mental health indicators: self-reported mental illness from the 2011 Census and linked administrative data on antidepressants and antipsychotics prescribed through primary care providers in the National Health Service in 2010/2012. Crime rates at data zone level (500-1000 persons) were matched to the participants' main place of residence, as defined by general practitioner patient registration duration during 2004/2006, 2007/2009 and 2010/12. Average neighbourhood crime exposure and change in area crime were computed. Covariate-adjusted logistic regressions were conducted, stratified by moving status."
"Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 2011-17.","In addition to average crime exposure during follow-up, recent increases in crime (2007/2009-2010/2012) were associated with a higher risk of self-reported mental illness, among 'stayers' aged 16-30 years (OR=1.11; 95% CI 1.00 to 1.22), and among 'movers' aged 31-45 years (OR=1.07; 95% CI 1.01 to 1.13). Prescribed medications reinforced these findings; worsening crime rates were linked with antidepressant prescriptions among young stayers (OR=1.09; 95% CI 1.04 to 1.14) and with antipsychotic prescriptions among younger middle-aged movers (OR=1.11; 95% CI 1.01 to 1.23)."
"Life Course Air Pollution Exposure and Cognitive Decline: Modelled Historical Air Pollution Data and the Lothian Birth Cohort 1936.","Changing neighbourhood crime exposure is related to individual mental health, but associations differ by psychiatric conditions, age and moving status. Crime reduction and prevention, especially in communities with rising crime rates, may benefit public mental health."
"Use of sequence analysis for classifying individual antidepressant trajectories to monitor population mental health.","Although neighborhood crime has been associated with mental health problems, longitudinal research utilizing objective measures of small-area crime and mental health service use is lacking. This study examines how local crime is associated with newly prescribed psychotropic medications in a large longitudinal sample of Scottish adults and explores whether the relationships vary between sociodemographic groups."
"Changing levels of local crime and mental health: a natural experiment using self-reported and service use data in Scotland.","Data from the Scottish Longitudinal Study, a 5.3% representative sample of the population, were linked with police-recorded crime in 2011 for residential locality and with psychotropic medications from 2009 to 2014, extracted from the prescription data set of National Health Service Scotland. Individuals receiving medication during the first 6 months of observation were excluded; the remaining sample was followed for 5.5 years. Covariate-adjusted, multilevel mixed-effects logistic models estimated associations between area crime and prescriptions for antidepressants, antipsychotics, and anxiolytics (analyzed in 2018-2019)."
"Neighborhood Crime and Psychotropic Medications: A Longitudinal Data Linkage Study of 130,000 Scottish Adults.","After adjustment for individual and neighborhood covariates, findings on 129,945 adults indicated elevated risk of antidepressant (OR=1.05, 95% CI=1.00, 1.10) and antipsychotic (OR=1.20, 95% CI=1.03, 1.39), but not anxiolytic (OR=0.99, 95% CI=0.93, 1.05) medication in high-crime areas. Crime showed stronger positive association with antidepressants among individuals (especially women) aged 24-53 years in 2009 and with antipsychotics among men aged 44-53 years in 2009. Skilled workers and people from lower nonmanual occupations had increased risk of medications in high-crime areas."
"Exposure to Solar UV During Outdoor Construction Work in Britain.","Local crime is an important predictor of mental health, independent of individual and other contextual risk factors. Place-based crime prevention and targeting vulnerable groups may have benefits for population mental health."
"UVA and Seasonal Patterning of 56 370 Myocardial Infarctions Across Scotland, 2000-2011.","Excessive exposure to ultraviolet (UV) radiation from the sun in summer can cause skin cancer and in Britain there are around 1500 new cases of non-melanoma skin cancer (NMSC) each year, caused by exposure to solar UV at work. Little is known about the magnitude of UV exposure amongst outdoor construction workers in Britain, although this is one of the main groups at risk. The aim of this paper is to summarise measurements of erythema-weighted UVB radiation amongst construction workers in Scotland and the Southeast of England and interpret the data in terms of the risk of NMSC. The measurements were made as part of an intervention study using short mobile phone text messages to alter worker behaviour to either reduce UV exposure in summer or increase serum vitamin D in winter; the intervention is only briefly reported here. Data were collected from 67 workers from 9 worksites, of whom 41 provided measures of UV exposure for 758 working days. Daily exposure ranged from 0 to 13.47 standard erythema dose (SED), with the mean exposure for outdoor workers being 2.0 SED and the corresponding value for indoor workers being 0.7 SED. These data were obtained from a sensor located on the back of the workers hard hat; others have measured exposure on the wrist or upper arm and these locations probably, on average, have higher levels of UV exposure. It is likely that an outdoor construction worker in Britain could accumulate sufficient solar UV exposure over 30-40 years of work to more than double their risk of NMSC. We argue that employers in Britain should take a more proactive approach to manage sun safety and they should take responsibility for skin health surveillance for their workers."
"Recession, local employment trends and change in self-reported health of individuals: A longitudinal study in England and Wales during the 'great recession'.","Tobacco displays at point of sale have been shown to increase young people’s pro-smoking attitudes, susceptibility to smoking and smoking initiation. In Scotland, legislation that prohibited tobacco point-of-sale displays was implemented in large stores (i.e. those &gt; 280 m<sup>2</sup>) in April 2013 and in small retailers in April 2015."
"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.","To assess the impact of the point-of-sale tobacco display ban on young people’s exposure to tobacco advertising, their attitudes to smoking and smoking susceptibility, and their risk of smoking initiation."
"Association Between the Activity Space Exposure to Parks in Childhood and Adolescence and Cognitive Aging in Later Life.","Multimodal before-and-after study design using mixed methods to collect data at baseline (2013) and then longitudinally for 4 years."
"How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study.","Four main study communities in the central belt of mainland Scotland, UK, purposively selected to reflect two levels of urbanity (urban vs. small town) and two levels of deprivation (high vs. medium/low). Four matched communities."
"Changing labour market conditions during the 'great recession' and mental health in Scotland 2007-2011: an example using the Scottish Longitudinal Study and data for local areas in Scotland.","In the main study communities, 94 tobacco retail outlets. All Secondary 2 (aged 13 years) and Secondary 4 (aged 15 years) pupils in 2013 and 2014 together with all Secondary 1 to Secondary 6 (aged 12–17 years) pupils in 2015–17. This included 6612 pupils who completed 14,344 questionnaires over 5 years. Three hundred and eighty-two participants in 80 focus groups who were recruited from Secondary 2 and Secondary 4 in 2013–17. In matched communities, 24 retail panel members in 2013–17."
"Pathogen seasonality and links with weather in England and Wales: a big data time series analysis.","Tobacco product and tobacco storage visibility, density of retail outlets (the number of retailers in a pre-defined area such as a residential neighbourhood), tobacco product exposure, brand awareness, perceived accessibility of tobacco, pro-smoking attitudes, pro-smoking norms, smoking susceptibility and smoking initiation."
"Association between Serum 25-Hydroxy Vitamin D Levels and the Prevalence of Adult-Onset Asthma.","The study had four components – a mapping and spatial analysis of retail outlets; a tobacco marketing audit, including retail panel interviews in matched communities; school surveys; and focus group discussions with secondary school pupils."
"A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol.","The study was based on a small number of communities and did not include communities in remote areas."
"Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936.","Compliance with the point-of-sale legislation in Scotland was high. This led to a large reduction in the visibility of tobacco products in retail outlets. However, when the results were stratified by socioeconomic status, declines in retailer density, weighted by total product visibility, were restricted to the least disadvantaged tertile of participants. Nevertheless, the implementation of the legislation was associated with a reduction in risk of both smoking susceptibility and smoking initiation in young people, as well as a reduction in the perceived accessibility of tobacco and in pro-smoking attitudes after both the partial and the comprehensive bans were introduced."
"Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study.","The Scottish point-of-sale legislation has been successful in reducing the overall visibility of tobacco products and is associated with improvements in attitudinal and behavioural outcomes in young people. However, cues that tobacco is for sale are still highly visible, particularly in retail outlets in areas of deprivation. In addition, the increase in retailer density that was observed after 2015 increased inequalities in product visibility. There was also evidence that the emergence of e-cigarettes may have disrupted the full impact of the legislation."
"Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey.","Our research indicates that further research is needed to examine the longitudinal relationships between tobacco outlet availability and product visibility inequalities; and the impact of e-cigarettes and standardised packaging on smoking initiation and prevalence."
"Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales.","This project was funded by the National Institute for Health Research (NIHR) Public Health Research programme and will be published in full in <i>Public Health Research</i>; Vol. 8, No. 1. See the NIHR Journals Library website for further project information."
"The relationship between greenspace and personal exposure to PM<sub>2.5</sub> during walking trips in Delhi, India.","Background Myocardial infarction exhibits seasonal patterning, with higher amplitude at increased latitude. Epidemiological evidence suggests that sunlight is protective against cardiovascular disease, independent of ambient temperature, but ultraviolet B-mediated vitamin D production has been discounted as causal. We aimed to determine whether ultraviolet A is associated with the seasonal patterning of myocardial infarction. Methods and Results Routine hospitalization data were used to determine monthly incidence of myocardial infarction in Scotland between 2000 and 2011. Small-area-level aggregated data were obtained on ambient temperature from the Meteorological Office and ultraviolet A and ultraviolet B irradiance from NASA satellites. Autoregressive distributed lag models were run for ultraviolet A and myocardial infarction, including adjustment for ambient temperature and ultraviolet B. Monthly incidence of myocardial infarction displayed winter peaks and summer troughs superimposed on the underlying trend, with a mean amplitude of 0.31 (95% CI: 0.21, 0.41) myocardial infarctions per 100 000 population per month. Ultraviolet A exposure was inversely associated with myocardial infarction independent of ambient temperature (coefficient, -0.05; 95% CI, -0.09, -0.01; <i>P</i>=0.015) and ultraviolet B UVB (coefficient, -0.05; 95% CI, -0.09, -0.02; <i>P</i>=0.004). Conclusions Further research is required to explore whether an ultraviolet-mediated mechanism different to vitamin D, such as nitric oxide-mediated vasodilatation, may play a causal role in the seasonal and geographical patterning of myocardial infarction."
"Contamination of Air and Surfaces in Workplaces with SARS-CoV-2 Virus: A Systematic Review.","Learning disability varies by month of conception. The underlying mechanism is unknown but vitamin D, necessary for normal brain development, is commonly deficient over winter in high latitude countries due to insufficient ultraviolet radiation. We linked the 2007-2016 Scottish School Pupil Censuses to Scottish maternity records and to sunshine hours and antenatal ultraviolet A/B radiation exposure derived from weather stations and satellites respectively. Logistic regression analyses were used to explore the associations between solar radiation, then ultraviolet B, and learning disabilities, adjusting for the potential confounding effects of month of conception and sex. Of the 422,512 eligible, singleton schoolchildren born at term in Scotland, 79,616 (18.8%) had a learning disability. Total antenatal sunshine hours (highest quintile; adjusted OR 0.89; 95% CI: 0.86, 0.93; p &lt; 0.001) and ultraviolet B exposure (highest quintile; adjusted OR 0.55; 95% CI: 0.51, 0.60; p &lt; 0.001) were inversely associated with learning disabilities with evidence of a dose-relationship. The latter association was independent of ultraviolet A exposure. Significant associations were demonstrated for exposure in all three trimesters. Low maternal exposure to ultraviolet B radiation may play a role in the seasonal patterning of learning disabilities. Further studies are required to corroborate findings and determine the effectiveness of supplements."
"Antenatal Exposure to UV-B Radiation and Preeclampsia: A Retrospective Cohort Study.","The exposure to green space in early life may support better cognitive aging in later life. However, this exposure is usually measured using the residential location alone. This disregards the exposure to green spaces in places frequented during daily activities (i.e., the 'activity space'). Overlooking the multiple locations visited by an individual over the course of a day is likely to result in poor estimation of the environmental exposure and therefore exacerbates the contextual uncertainty. A child's activity space is influenced by factors including age, sex, and the parental perception of the neighborhood. This paper develops indices of park availability based on individuals' activity spaces (home, school, and the optimal route to school). These measures are used to examine whether park availability in childhood is related to cognitive change much later in life. Multi-level linear models, including random effects for schools, were used to test the association between park availability during childhood and adolescence and cognitive aging (age 70 to 76) in the Lothian Birth Cohort 1936 participants (N = 281). To test for the effect modification, these models were stratified by sex and road traffic accident (RTA) density. Park availability during adolescence was associated with better cognitive aging at a concurrently low RTA density (β = 0.98, 95% CI: 0.36 to 1.60), but not when the RTA density was higher (β = 0.22, 95% CI: -0.07 to 0.51). Green space exposure during early life may be important for optimal cognitive aging; this should be evidenced using activity space-based measures within a life-course perspective."
"Climatic factors are associated with asthma prevalence: An ecological study using English quality outcomes framework general practitioner practice data.","Reducing the local availability of tobacco is identified as the 'next frontier' in tobacco control. This paper examines the roles of tobacco retail outlet density and tobacco visibility in changing exposure to tobacco retailing before and after the introduction of point-of-sale (POS) legislation in Scotland."
"A data linkage study of the effects of the Great Recession and austerity on antidepressant prescription usage.","National tobacco retailer register data were analysed to examine time trends in tobacco retailer density (2012-2017). Results were stratified by local authority, neighbourhood deprivation and urbanity. Next, an annual retail audit using a POS tobacco visibility tool assessed changes in total product visibility in all retail outlets in four study communities between 2013 and 2017. A longitudinal survey (2013-2017) of 5527 adolescents aged 12-17 in the four study communities enabled the calculation of residential and journey-to-school measures of tobacco retailer exposure. Trends were stratified by deprivation, urbanity and socioeconomic status."
"Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 2011-17.","Retail provision of tobacco declined following the introduction of the POS legislation in 2013. However, there were strong geographic differences; nationally, one-fifth of local authorities have increased provision since 2015. In the four study communities, tobacco retail provision was generally stable over the study period. Although product visibility of tobacco products reduced for adolescents there was growing socioeconomic disparity in the density of tobacco retailers and the visibility of tobacco storage."
"Life Course Air Pollution Exposure and Cognitive Decline: Modelled Historical Air Pollution Data and the Lothian Birth Cohort 1936.","The POS ban reduced exposure to tobacco products in communities across Scotland. However, tobacco products remain widely available, and there is growing socioeconomic disparity in the availability and visibility of tobacco."
